CHARACTER_PK,MAGIC_TYPE_MASTERY,MASTERY,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,0,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77212,1,2,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77213,2,3,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77214,3,4,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77242,4,5,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77243,5,6,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77244,6,7,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77245,7,8,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77273,8,9,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77274,1,10,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77275,2,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77276,3,2,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77304,4,3,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77305,5,4,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77306,6,5,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77307,7,6,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77335,8,7,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77336,1,8,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77337,2,9,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77338,3,10,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77366,4,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77367,5,2,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77368,6,3,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77369,7,4,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77397,8,5,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77398,1,6,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77399,2,7,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77400,3,8,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77428,4,9,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77429,5,10,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77430,6,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77431,7,2,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77459,8,3,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77460,1,4,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77461,2,5,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
77462,3,6,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
78141,4,7,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
78142,5,8,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
78143,6,9,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
78144,7,10,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
9401,1,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
9402,2,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
9403,3,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
9404,4,1,ANDROID_TEST_SEED,2026-06-26 15:16:09,ANDROID_TEST_SEED,2026-06-26 15:16:09
